"","ano_campeonato","data","rodada","estadio","arbitro","publico","publico_max","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante","escanteios_mandante","escanteios_visitante","faltas_mandante","faltas_visitante","chutes_bola_parada_mandante","chutes_bola_parada_visitante","defesas_mandante","defesas_visitante","impedimentos_mandante","impedimentos_visitante","chutes_mandante","chutes_visitante","chutes_fora_mandante","chutes_fora_visitante"
"2232",2017,"2017-10-01",26,"Estádio Aderbal Ramos da Silva","Raphael Claus",7872,17800,"Avaí FC","Atlético-GO","Claudinei Oliveira","João Paulo Sanches",15,20,5.95,7.65,28.4,25,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2233",2016,"2016-09-25",27,"Estádio Raimundo Sampaio","Luiz Flávio de Oliveira",1789,25000,"América-MG","Botafogo","Enderson Moreira","Jair Ventura",20,9,6.15,7.65,28.3,29.2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2234",2008,"2008-05-25",3,"Arena da Baixada","Émerson Luiz Sobral",14741,NA,"Atlético-PR","Atlético-MG","Roberto Fernandes","Alexandre Gallo",5,13,7.8,7.65,23.9,27.1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2235",2019,"2019-08-04",13,"Estádio Governador Plácido Castelo","Héber Lopes",38421,60326,"Ceará SC","Fortaleza","Enderson Moreira","Rogério Ceni",13,14,8.5,7.65,28.4,29.2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2236",2008,"2008-06-08",5,"Arena da Baixada","Paulo César de Oliveira",14721,NA,"Atlético-PR","Goiás EC","Roberto Fernandes","Vadão",9,17,8.8,7.65,24.1,27,5,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2237",2022,"2022-06-26",14,"Estádio Governador Plácido Castelo","Douglas Marques Flores",21337,60326,"Ceará SC","Atlético-GO","","",13,12,11.05,7.65,30.3,27.4,1,1,0,1,4,2,16,18,18,16,1,4,0,6,10,7,3,3
"2238",2019,"2019-10-21",27,"Arena Condá","Gilberto Rodrigues Castro Junior",4042,22600,"Chapecoense","Goiás EC","Marquinhos Santos","Ney Franco",20,10,11.15,7.65,31.4,26.1,2,2,2,0,6,9,23,14,12,22,6,2,1,2,12,21,5,8
"2239",2014,"2014-11-22",36,"Estádio Beira-Rio","Péricles Bassols Pegado Cortez",33443,56000,"Internacional","Atlético-MG","Abel Braga","Levir Culpi",6,4,14.5,7.65,27.9,25.7,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2240",2019,"2019-11-18",33,"Estádio São Januário","Paulo Roberto Alves Júnior",18620,24584,"Vasco da Gama","Goiás EC","Vanderlei Luxemburgo","Ney Franco",11,10,17.25,7.65,27.2,27.7,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2241",2019,"2019-05-05",3,"Estádio Olímpico Nilton Santos","Wagner Reway",13749,46931,"Botafogo","Fortaleza","Eduardo Barroca","Rogério Ceni",12,15,18.25,7.65,28.9,28.7,1,0,0,0,7,4,10,15,16,10,3,2,0,1,3,3,4,8
"2242",2017,"2017-08-27",22,"Neo Química Arena","Péricles Bassols Pegado Cortez",40811,49205,"Corinthians","Atlético-GO","Fábio Carille","João Paulo Sanches",1,20,20.85,7.65,26.5,25.9,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2243",2021,"2021-12-06",37,"Arena da Baixada","Wagner do Nascimento Magalhães",19308,42372,"Athletico-PR","Palmeiras","Alberto Valentim","Abel Ferreira",13,3,23,7.65,27,20.5,0,0,0,0,8,1,11,10,9,9,0,3,4,0,22,4,10,2
"2244",2020,"2020-10-08",14,"Estádio Cícero Pompeu de Toledo","Dyorgines Jose Padovani",0,67428,"São Paulo","Atlético-GO","Fernando Diniz","Vágner Mancini",3,13,27,7.65,26.9,26,3,0,1,0,5,3,17,12,12,17,5,6,1,2,25,15,8,8
"2245",2020,"2021-01-22",31,"Neo Química Arena","Anderson Daronco",0,49205,"Corinthians","Sport Recife","Vágner Mancini","Jair Ventura",9,15,27.4,7.65,28.9,29,3,0,1,0,6,5,9,7,5,9,4,9,2,3,20,10,6,4
"2246",2015,"2015-09-03",22,"Arena das Dunas","Thiago Duarte Peixoto",22825,45000,"Flamengo","Avaí FC","Oswaldo de Oliveira","Gilson Kleina",10,15,29.25,7.65,28.1,26.3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2247",2017,"2017-07-14",13,"Estádio Cícero Pompeu de Toledo","Marielson Alves Silva",31333,67428,"São Paulo","Atlético-GO","Dorival Júnior","Doriva",19,20,34.48,7.65,26.6,26.5,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2248",2021,"2021-07-25",13,"Estádio Urbano Caldeira","Leandro Pedro Vuaden",0,20120,"Santos","Atlético-GO","Fernando Diniz","Eduardo Barroca",10,11,34.6,7.65,27,26.2,0,1,0,1,15,2,14,7,7,13,1,2,3,2,29,7,16,3
"2249",2020,"2021-02-22",37,"Allianz Parque","Caio Max Augusto Vieira",0,43600,"Palmeiras","Atlético-GO","Abel Ferreira","Marcelo Cabo",6,13,40.85,7.65,28.8,25.4,1,1,1,1,9,6,20,13,13,20,2,3,0,1,19,9,11,5
