,Ano,Time,Total_Viagens_KM,Media_Viagem_KM,Jogos_Fora
131,2009,Nautico,37760.398759188,1987.38940837832,19
132,2009,Sport,37760.398759188,1987.38940837832,19
133,2009,Vitoria,27039.1486588905,1423.11308731003,19
134,2009,Gremio,22394.1377449529,1178.63882868173,19
135,2009,Internacional,22394.1377449529,1178.63882868173,19
136,2009,Goias,20135.508393874,1059.76359967758,19
137,2009,Avai,16727.0780979233,880.372531469646,19
138,2009,Athletico-PR,14741.5777875334,775.872515133335,19
139,2009,Coritiba,14741.5777875334,775.872515133335,19
140,2009,Atletico-MG,14232.3959180721,749.073469372217,19
141,2009,Cruzeiro,14232.3959180721,749.073469372217,19
142,2009,Botafogo-RJ,13119.2422934058,690.486436495042,19
143,2009,Flamengo,13119.2422934058,690.486436495042,19
144,2009,Fluminense,13119.2422934058,690.486436495042,19
145,2009,Santos,11780.849621739,620.044716933633,19
146,2009,Barueri,11722.5763752918,616.977703962726,19
147,2009,Santo Andre,11593.7365457059,610.196660300309,19
148,2009,Corinthians,11569.9974005523,608.947231608017,19
149,2009,Palmeiras,11569.9974005523,608.947231608017,19
150,2009,Sao Paulo,11569.9974005523,608.947231608017,19
151,2010,Ceara,43626.0456561094,2296.10766611102,19
152,2010,Vitoria,27570.4667961515,1451.07719979745,19
153,2010,Gremio,21808.9635730438,1147.84018805494,19
154,2010,Internacional,21808.9635730438,1147.84018805494,19
155,2010,Atletico-GO,18045.6028084284,949.768568864653,19
156,2010,Goias,18045.6028084284,949.768568864653,19
157,2010,Avai,16336.978968385,859.840998336051,19
158,2010,Gremio Prudente,15898.4477770411,836.760409317953,19
159,2010,Athletico-PR,14263.1299481441,750.691049902321,19
160,2010,Atletico-MG,13309.899437458,700.521023024107,19
161,2010,Cruzeiro,13309.899437458,700.521023024107,19
162,2010,Botafogo-RJ,12330.7190846307,648.985214980566,19
163,2010,Flamengo,12330.7190846307,648.985214980566,19
164,2010,Fluminense,12330.7190846307,648.985214980566,19
165,2010,Vasco,12330.7190846307,648.985214980566,19
166,2010,Santos,11333.9347974543,596.522884076543,19
167,2010,Guarani,11270.7165563596,593.195608229455,19
168,2010,Corinthians,11066.636053516,582.454529132419,19
169,2010,Palmeiras,11066.636053516,582.454529132419,19
170,2010,Sao Paulo,11066.636053516,582.454529132419,19
171,2011,Ceara,44401.5237627555,2336.92230330292,19
172,2011,Bahia,27899.0476388134,1468.3709283586,19
173,2011,Gremio,20802.8333902805,1094.8859679095,19
174,2011,Internacional,20802.8333902805,1094.8859679095,19
175,2011,Atletico-GO,19527.0360492948,1027.73873943657,19
176,2011,Avai,15131.3301078539,796.385795150207,19
177,2011,Figueirense,15131.3301078539,796.385795150207,19
178,2011,Athletico-PR,13578.4702866263,714.65633087507,19
179,2011,Coritiba,13578.4702866263,714.65633087507,19
180,2011,America-MG,13163.3110597379,692.805845249364,19
181,2011,Atletico-MG,13163.3110597379,692.805845249364,19
182,2011,Cruzeiro,13163.3110597379,692.805845249364,19
183,2011,Botafogo-RJ,11915.8753231527,627.151332797511,19
184,2011,Flamengo,11915.8753231527,627.151332797511,19
185,2011,Fluminense,11915.8753231527,627.151332797511,19
186,2011,Vasco,11915.8753231527,627.151332797511,19
187,2011,Santos,11087.5633741988,583.555967063093,19
188,2011,Corinthians,10978.2724844287,577.80381496993,19
189,2011,Palmeiras,10978.2724844287,577.80381496993,19
190,2011,Sao Paulo,10978.2724844287,577.80381496993,19
191,2012,Nautico,37130.39630016,1954.23138421895,19
192,2012,Sport,37130.39630016,1954.23138421895,19
193,2012,Bahia,26420.1871100906,1390.53616368898,19
194,2012,Gremio,23028.6626285474,1212.03487518671,19
195,2012,Internacional,23028.6626285474,1212.03487518671,19
196,2012,Atletico-GO,20018.6377287813,1053.61251204112,19
197,2012,Figueirense,17291.3202978251,910.069489359214,19
198,2012,Coritiba,15455.8840260802,813.467580320009,19
199,2012,Atletico-MG,13710.7074908227,721.616183727509,19
200,2012,Cruzeiro,13710.7074908227,721.616183727509,19
201,2012,Botafogo-RJ,12461.4611792268,655.86637785404,19
202,2012,Flamengo,12461.4611792268,655.86637785404,19
203,2012,Fluminense,12461.4611792268,655.86637785404,19
204,2012,Vasco,12461.4611792268,655.86637785404,19
205,2012,Ponte Preta,12055.7537389432,634.513354681219,19
206,2012,Santos,11864.8718829613,624.466941208489,19
207,2012,Corinthians,11634.7255587169,612.353976774576,19
208,2012,Palmeiras,11634.7255587169,612.353976774576,19
209,2012,Portuguesa,11634.7255587169,612.353976774576,19
210,2012,Sao Paulo,11634.7255587169,612.353976774576,19
211,2013,Nautico,38283.381380577,2014.91480950405,19
212,2013,Bahia,26219.3068310195,1379.96351742208,19
213,2013,Vitoria,26219.3068310195,1379.96351742208,19
214,2013,Gremio,21904.9841518224,1152.89390272749,19
215,2013,Internacional,21904.9841518224,1152.89390272749,19
216,2013,Goias,19692.2386316706,1036.43361219319,19
217,2013,Criciuma,18436.9399690309,970.36526152794,19
218,2013,Athletico-PR,14549.4967952354,765.762989222913,19
219,2013,Coritiba,14549.4967952354,765.762989222913,19
220,2013,Atletico-MG,13509.615816826,711.032411411893,19
221,2013,Cruzeiro,13509.615816826,711.032411411893,19
222,2013,Botafogo-RJ,12256.0372360698,645.054591372095,19
223,2013,Flamengo,12256.0372360698,645.054591372095,19
224,2013,Fluminense,12256.0372360698,645.054591372095,19
225,2013,Vasco,12256.0372360698,645.054591372095,19
226,2013,Ponte Preta,11794.2968914384,620.752467970445,19
227,2013,Santos,11617.6014334653,611.452707024491,19
228,2013,Corinthians,11440.4684052467,602.129916065618,19
229,2013,Portuguesa,11440.4684052467,602.129916065618,19
230,2013,Sao Paulo,11440.4684052467,602.129916065618,19
231,2014,Sport,39737.7294078682,2091.45944251938,19
232,2014,Bahia,27666.0712137429,1456.10901124963,19
233,2014,Vitoria,27666.0712137429,1456.10901124963,19
234,2014,Gremio,20612.3662333132,1084.8613807007,19
235,2014,Internacional,20612.3662333132,1084.8613807007,19
236,2014,Goias,20448.3698453637,1076.22999186125,19
237,2014,Chapecoense,19028.1187888228,1001.47993625383,19
238,2014,Criciuma,17370.3072424101,914.226696968955,19
239,2014,Figueirense,15634.8194170417,822.885232475878,19
240,2014,Atletico-MG,14870.7515636786,782.671134930451,19
241,2014,Cruzeiro,14870.7515636786,782.671134930451,19
242,2014,Athletico-PR,14143.96333634,744.419122965264,19
243,2014,Coritiba,14143.96333634,744.419122965264,19
244,2014,Botafogo-RJ,13669.4723356099,719.445912400521,19
245,2014,Flamengo,13669.4723356099,719.445912400521,19
246,2014,Fluminense,13669.4723356099,719.445912400521,19
247,2014,Santos,12318.27160326,648.330084382103,19
248,2014,Corinthians,12205.1477219756,642.376195893452,19
249,2014,Palmeiras,12205.1477219756,642.376195893452,19
250,2014,Sao Paulo,12205.1477219756,642.376195893452,19
251,2015,Sport,42856.5002533849,2255.60527649394,19
252,2015,Goias,19676.7207481744,1035.61688148286,19
253,2015,Gremio,17511.2151233868,921.642901230884,19
254,2015,Internacional,17511.2151233868,921.642901230884,19
255,2015,Chapecoense,15879.3439962484,835.754947170969,19
256,2015,Atletico-MG,14128.0640283025,743.58231727908,19
257,2015,Cruzeiro,14128.0640283025,743.58231727908,19
258,2015,Avai,12311.5969414772,647.978786393539,19
259,2015,Figueirense,12311.5969414772,647.978786393539,19
260,2015,Flamengo,12192.3564157933,641.702969252281,19
261,2015,Fluminense,12192.3564157933,641.702969252281,19
262,2015,Vasco,12192.3564157933,641.702969252281,19
263,2015,Joinville,11149.3617046785,586.808510772552,19
264,2015,Athletico-PR,10924.7266085173,574.985610974597,19
265,2015,Coritiba,10924.7266085173,574.985610974597,19
266,2015,Ponte Preta,10089.2448031321,531.012884375373,19
267,2015,Santos,9725.84123186999,511.886380624736,19
268,2015,Corinthians,9612.18699796621,505.904578840327,19
269,2015,Palmeiras,9612.18699796621,505.904578840327,19
270,2015,Sao Paulo,9612.18699796621,505.904578840327,19
271,2016,Santa Cruz,38222.1913373962,2011.69428091559,19
272,2016,Sport,38222.1913373962,2011.69428091559,19
273,2016,Vitoria,27431.6803503536,1443.77265001861,19
274,2016,Gremio,21792.6563759561,1146.98191452401,19
275,2016,Internacional,21792.6563759561,1146.98191452401,19
276,2016,Chapecoense,20050.6102177219,1055.29527461694,19
277,2016,Figueirense,16465.7419214806,866.617995867399,19
278,2016,Athletico-PR,14667.4116177733,771.969032514382,19
279,2016,Coritiba,14667.4116177733,771.969032514382,19
